2020/09/30                                                                                                                                                                                                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                                                                                                                                                                                                    1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PEB,Invoice Doc,Material,DistChnl Desc,Ship-to-Party,SubDiv Desc,EndCust Code,BillT,Sold-to-Party,Sold-to-Party Name,Div Desc,RefDoc,EndCust Short Name,Posting Date,Div,Doc Curr,Invoiced Quantity,   Net value,Net Value Local,,
338539,903094895,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095837,OMRON,2020-09-17,10,US$,"2,000.00",394.82,394.82,,
338539,903094896,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095838,OMRON,2020-09-17,10,US$,"2,000.00",394.82,394.82,,
338539,903094897,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095839,OMRON,2020-09-17,10,US$,"6,000.00","1,184.46","1,184.46",,
338539,903094898,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095835,OMRON,2020-09-17,10,US$,"10,000.00","1,974.10","1,974.10",,
334810,903094902,AN83053UA-VF,Sales Co. (B&S),29817,A-LSI,20203766,ZF2,29817,NTSG-SALES,ANALOG LSI,803095827,KEIHIN CAR,2020-09-15,20,US$,"9,000.00","5,992.56","5,992.56",,
334808,903094903,AN83051UA-VF,Sales Co. (B&S),29817,A-LSI,40968593,ZF2,29817,NTSG-SALES,ANALOG LSI,803095845,SUMITOMO,2020-09-15,20,US$,"9,000.00","9,669.60","9,669.60",,
331969,903094904,MIP0221SCL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095895,NTCJ,2020-09-12,10,US$,"10,000.00","4,543.00","4,543.00",,
331969,903094904,MIP0227SCL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095895,NTCJ,2020-09-12,10,US$,"1,000.00","1,212.40","1,212.40",,
331969,903094904,MIP2E2DMUL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095895,NTCJ,2020-09-12,10,US$,"27,000.00","12,687.30","12,687.30",,
331969,903094908,MN101C38CKF,Buy Back,39173,MN-DD,29288,ZF2,39173,GPRC,SYSTEM LSI,803095848,NTCJ,2020-09-12,30,US$,500,583,583,,
331969,903094908,MN101C38CKF,Buy Back,39173,MN-DD,29288,ZF2,39173,GPRC,SYSTEM LSI,803095848,NTCJ,2020-09-12,30,US$,500,583,583,,
331969,903094908,MN101C38CKF,Buy Back,39173,MN-DD,29288,ZF2,39173,GPRC,SYSTEM LSI,803095848,NTCJ,2020-09-12,30,US$,"1,500.00","1,749.00","1,749.00",,
331969,903094905,MN63Y2018NFT,Buy Back,39173,MCS-LSI-TAG,29288,ZF2,39173,GPRC,SYSTEM LSI,803095894,NTCJ,2020-09-12,30,US$,"50,688.00","16,052.89","16,052.89",,
338539,903094906,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095841,OMRON,2020-09-17,10,US$,"16,000.00","3,158.56","3,158.56",,
338539,903094907,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095840,OMRON,2020-09-17,10,US$,"10,000.00","1,974.10","1,974.10",,
331969,903094909,MIP2130MFL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095896,NTCJ,2020-09-12,10,US$,"100,000.00","18,100.00","18,100.00",,
331969,903094909,MIP2130MFL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095896,NTCJ,2020-09-12,10,US$,"100,000.00","18,100.00","18,100.00",,
331969,903094909,MIP2130MFL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095896,NTCJ,2020-09-12,10,US$,"40,000.00","7,240.00","7,240.00",,
334470,903094910,MN101CB0GSN,Sales Co. (B&S),29817,MN-DD,80931304,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095864,PHCI,2020-09-14,30,US$,"17,000.00","12,890.08","12,890.08",,
334470,903094911,AN41241A-VF,Sales Co. (B&S),29817,A-LSI,80963660,ZF2,29817,NTSG-SALES,ANALOG LSI,803095868,DENSO TEN,2020-09-14,20,US$,"12,000.00","6,888.60","6,888.60",,
334470,903094912,MN101CB0GSN,Sales Co. (B&S),29817,MN-DD,80931304,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095863,PHCI,2020-09-14,30,US$,"24,000.00","18,197.76","18,197.76",,
334470,903094913,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095865,BIPH,2020-09-14,30,US$,"27,648.00","6,002.93","6,002.93",,
334470,903094914,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095866,BIPH,2020-09-14,30,US$,"27,648.00","6,002.93","6,002.93",,
334470,903094915,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095867,BIPH,2020-09-14,30,US$,"55,296.00","12,005.87","12,005.87",,
336177,903094916,MIP2130MFL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095897,NTCJ,2020-09-18,10,US$,"100,000.00","18,100.00","18,100.00",,
336177,903094916,MIP2130MFL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095897,NTCJ,2020-09-18,10,US$,"14,000.00","2,534.00","2,534.00",,
336177,903094916,MIP5300MFL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095897,NTCJ,2020-09-18,10,US$,"4,000.00","1,813.20","1,813.20",,
336177,903094917,AN44069A-VF,Buy Back,39173,A-LSI,29313,ZF2,39173,GPRC,ANALOG LSI,803095901,NTCJ,2020-09-18,20,US$,"6,000.00","1,791.60","1,791.60",,
336177,903094918,MIP2E1DMCL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095898,NTCJ,2020-09-18,10,US$,"8,000.00","5,016.00","5,016.00",,
336177,903094918,MIP2E1DMCL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095898,NTCJ,2020-09-18,10,US$,"4,000.00","2,508.00","2,508.00",,
336177,903094918,MIP2E5DMCL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095898,NTCJ,2020-09-18,10,US$,"15,000.00","8,985.00","8,985.00",,
336177,903094918,MIP2E2DMUL,Buy Back,39173,IPD,29269,ZF2,39173,GPRC,DISCRETE,803095898,NTCJ,2020-09-18,10,US$,"24,000.00","11,277.60","11,277.60",,
336177,903094919,AN83053UA-VF,Buy Back,39173,A-LSI,29313,ZF2,39173,GPRC,ANALOG LSI,803095900,NTCJ,2020-09-18,20,US$,200,139.7,139.7,,
320146,903094815,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095771,LGI-J,2020-09-04,10,US$,"72,000.00","36,280.80","36,280.80",,
320146,903094816,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095772,LGI-J,2020-09-04,10,US$,"86,400.00","43,536.96","43,536.96",,
320146,903094817,LNCT28PF01LG,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095778,LGI-J,2020-09-04,10,US$,"86,400.00","43,308.86","43,308.86",,
320146,903094818,LNCT28PF01LG,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095779,LGI-J,2020-09-04,10,US$,"67,200.00","33,684.67","33,684.67",,
337956,903094921,LNCT28PF01LG,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095899,LGI-J,2020-09-17,10,US$,"48,000.00","24,060.48","24,060.48",,
337956,903094922,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095889,BROTHERHK,2020-09-17,30,US$,"78,336.00","17,024.76","17,024.76",,
320146,903094819,MN101C30AMX,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095783,SHIN-BRO,2020-09-04,30,US$,"4,000.00","2,183.80","2,183.80",,
568920,903094923,MN101CYE57T1-I,Buy Back,39173,MCS-LSI-INLET,29288,ZF2,39173,GPRC,SYSTEM LSI,803095880,NTCJ,2020-09-22,30,US$,"444,055.00","195,828.26","195,828.26",,
319996,903094820,AN83051UA-VF,Sales Co. (B&S),29817,A-LSI,40968593,ZF2,29817,NTSG-SALES,ANALOG LSI,803095786,SUMITOMO,2020-09-04,20,US$,"12,000.00","12,892.80","12,892.80",,
320146,903094821,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095774,LGI-J,2020-09-04,10,US$,"86,400.00","43,536.96","43,536.96",,
320146,903094822,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095775,LGI-J,2020-09-04,10,US$,"33,600.00","16,931.04","16,931.04",,
337956,903094924,MN63Y2018JRT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095906,BROTHERHK,2020-09-17,30,US$,"4,608.00","1,002.01","1,002.01",,
337956,903094925,MN63Y2018JRT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095907,BROTHERHK,2020-09-17,30,US$,"36,864.00","8,016.08","8,016.08",,
320146,903094823,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095773,LGI-J,2020-09-04,10,US$,"86,400.00","43,536.96","43,536.96",,
320146,903094824,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095776,LGI-J,2020-09-04,10,US$,"86,400.00","43,536.96","43,536.96",,
324671,903094825,MIP2E3DMUL,Sales Co. (B&S),29817,IPD,80963692,ZF2,29817,NTSG-SALES,DISCRETE,803095798,SATORI,2020-09-07,10,US$,"3,000.00","1,787.04","1,787.04",,
324659,903094826,AN47052A-VT,Sales Co. (B&S),29817,A-LSI,29122,ZF2,29817,NTSG-SALES,ANALOG LSI,803095787,PAPMOSH,2020-09-08,20,US$,"2,000.00",828.24,828.24,,
324659,903094827,MN101C77CKY,Sales Co. (B&S),29817,MN-DD,29321,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095789,PSNM,2020-09-08,30,US$,500,322.64,322.64,,
324659,903094828,MN101C77CKY,Sales Co. (B&S),29817,MN-DD,29321,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095790,PSNM,2020-09-08,30,US$,500,322.64,322.64,,
324659,903094829,MN101C77CKY,Sales Co. (B&S),29817,MN-DD,29321,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095791,PSNM,2020-09-08,30,US$,500,322.64,322.64,,
324659,903094830,MN101C77CKY,Sales Co. (B&S),29817,MN-DD,29321,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095792,PSNM,2020-09-08,30,US$,500,322.64,322.64,,
324659,903094831,MN101C77CKY,Sales Co. (B&S),29817,MN-DD,29321,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095793,PSNM,2020-09-08,30,US$,"1,000.00",645.28,645.28,,
324659,903094833,MIP2E1DMUL,Sales Co. (B&S),29817,IPD,20206276,ZF2,29817,NTSG-SALES,DISCRETE,803095795,PPHK-AIDEN,2020-09-08,10,US$,"3,000.00","1,360.20","1,360.20",,
337903,903094926,AN44069A-VF,Sales Co. (B&S),29817,A-LSI,20203616,ZF2,29817,NTSG-SALES,ANALOG LSI,803095854,CANON.HK,2020-09-17,20,US$,"1,000.00",310.05,310.05,,
